case_id,category,dataset,question,agent_answer,runtime_error,latency_seconds,retry_count,run_status
retail_city_total_sales,basic grouped aggregation,retail,Top cities by total Sales.,"`Sales` by `City` is led by `Tokyo` (total 7300.00, n=3), `London` (total 6400.00, n=3), `Berlin` (total 3800.00, n=2), `Madrid` (total 2000.00, n=2), `Paris` (total 1400.00, n=2) using total `Sales`.",,0.2972016669809818,0,needs_review
retail_city_average_sales,basic grouped aggregation,retail,Top cities by average Sales.,"`Sales` by `City` is led by `Tokyo` (average 2433.33, n=3), `London` (average 2133.33, n=3), `Berlin` (average 1900.00, n=2), `Madrid` (average 1000.00, n=2), `Paris` (average 700.00, n=2) using average `Sales`.",,0.027925417001824826,0,needs_review
retail_sales_trend,trend analysis,retail,Create a line chart of total Sales over Order Date.,"Created a line chart of total `Sales` over `Order Date` using monthly aggregation. Total `Sales` rises overall, moving from 3400.00 to 4600.00 across 6 periods; the net change is 1200.00 (+35.3%). The series is volatile rather than smooth, so period-to-period movement matters as much as the endpoint change. Largest positive jump: 2026-02 to 2026-03 (+4300.00). Largest decline: 2026-01 to 2026-02 (-2000.00).",,0.026516708021517843,0,needs_review
retail_profit_margin_category,business KPI analysis,retail,Where is Profit Margin weakest by Category?,`Furniture` has the weakest profit margin at -0.96%.,,0.017672292015049607,0,needs_review
retail_operational_inefficiency_region,business KPI analysis,retail,Which regions are operationally inefficient?,"`APAC` has the highest operational inefficiency score (30.14).

1. `APAC` has the highest operational inefficiency score (30.14).

Validate with an outlier check and a segment-level breakdown before drawing conclusions.",,0.014257707982324064,0,needs_review
retail_high_sales_low_profit,business KPI analysis,retail,Which categories have high Sales but low Profit?,"`Furniture` combines high revenue (5700.0) with weak profit/margin (-55.0, -0.96%).",,0.012858667003456503,0,needs_review
retail_sales_profit_relationship,relationship analysis,retail,Build a chart of Sales versus Profit by Category.,`Sales` versus `Profit` uses both metrics. `Furniture` has Sales 5700.0 and Profit -55.0 (high/active revenue with weak profit).,,0.017132957989815623,0,needs_review
retail_discount_profit_relationship,relationship analysis,retail,Compare Discount sensitivity against Profitability.,"Discount sensitivity is computed from `Discount` against profitability: correlation -0.879, so higher discounts are associated with lower profitability in this dataset.",,0.01751383297960274,0,needs_review
retail_sales_outliers_city,outlier analysis,retail,Which cities are statistical outliers for Sales?,"I checked anomalies inside the active `Sales` by `City` comparison using IQR bounds (-1487.50 to 4812.50), group spread, and group sample size. 1 rows are flagged as candidate `Sales` outliers. Unusual `Sales` values are concentrated in the most variable `City` groups, so the pattern is mainly value-driven. `Tokyo` has the largest difference (700.00 to 5000.00); the widest groups are `Tokyo` (4300.00), `London` (2000.00), `Berlin` (1400.00). `Tokyo` also leads by average `Sales` (2433.33), while `Paris` is lowest (700.00). Evidence is weaker for sparse groups such as `Berlin`, `Madrid`, `Paris`; the smallest group has 2 rows. Possible outliers are most concentrated in `Tokyo` (1 flagged value across 3 rows).",,0.048934708000160754,0,needs_review
health_smoker_prevalence,health risk analysis,health,Compare heart disease prevalence between smokers and non-smokers.,"`Heart Disease` prevalence is highest among Smoker = `Yes / F` (100.0%) and lowest among `No` (0.0%), a gap of 100.0%. Overall prevalence is 56.2% across 16 records.",,0.022969999990891665,0,needs_review
health_age_gender_prevalence_chart,visualization request,health,Build a visualization of heart disease prevalence by age group and gender.,"`Heart Disease` prevalence by ordered `Age Group` increases from `18-29 / F` (0.0%) to `60+ / M` (100.0%), a change of 100.0%. Overall prevalence is 56.2% across 16 records.",,0.021897166996495798,0,needs_review
